04Descriere	Cod Produs	Status Unealtă	Serie	Număr referință	Ultima Reparație	Cost Reparație	Număr Reparații	Garanție	Număr Echipament	Generație
Surubelnita SIW 6AT-22 1/2" plastic	2365080	Activ	251080229	-	-	0,00 RON	0	IN	300123935917	03
Rotopercutor TE 3-C coolTEc	2198274	Activ	70062	-	20-11-2023	886,13 RON	2	-	300076006574	01
Acumulator B 22/5.2 Li-ion	2136396	Activ	833720198	-	-	0,00 RON	0	-	-	01
Polizor AG 125-19SE	2119066	Activ	809000497	-	-	0,00 RON	0	-	-	04
Acumulator B 22/5.2 Li-ion	2136396	Activ	833720199	-	-	0,00 RON	0	-	-	01
Surubelnita SF 6-A22 cutie plastic	2113447	Activ	182410650	-	-	0,00 RON	0	-	-	01
Polizor AG 125-19SE	2119066	Activ	809000494	-	-	0,00 RON	0	-	-	04
Surubelnita SF 6-A22 cutie plastic	2113447	Activ	182410663	-	-	0,00 RON	0	-	-	01
Incarcator C4/36-90	2034530	Activ	826110184	-	-	0,00 RON	0	-	-	01
Polizor AG 125-19SE	2119066	Activ	809000492	-	-	0,00 RON	0	-	-	04
Polizor AG 125-19SE	2119066	Activ	190100197	-	08-11-2022	988,23 RON	4	-	300079243165	04
Acumulator B 22/5.2 Li-ion	2136396	Activ	825520982	-	-	0,00 RON	0	-	300079243164	01
Polizor AG 125-19SE	2119066	Activ	181200972	-	-	0,00 RON	0	-	-	04
Acumulator B 22/5.2 Li-ion	2136396	Activ	903720226	-	-	0,00 RON	0	-	-	01
Incarcator C4/36-90	2034530	Activ	828310358	-	-	0,00 RON	0	-	-	01
Rotopercutor TE 3-M coolTEc	2198258	Activ	74409	-	14-07-2022	0,00 RON	1	-	300085354652	01
Rotopercutor TE 3-M coolTEc	2198258	Activ	74405	-	14-07-2022	0,00 RON	1	-	300085354648	01
Acumulator B 22/4.0Ah	2183180	Activ	19540714	-	-	0,00 RON	0	-	300088457367	01
Acumulator B 22/4.0Ah	2183180	Activ	19540712	-	31-08-2022	0,00 RON	1	-	300088457365	01
Incarcator C4/36-350	2034219	Activ	80700423	-	31-08-2022	0,00 RON	1	-	300088457363	01
Acumulator B 22/4.0Ah	2183180	Activ	19540715	-	31-08-2022	0,00 RON	1	-	300088457368	01
Surubelnita SF 6H-A22 plastic	2184337	Activ	201060223	-	27-09-2022	0,00 RON	1	-	300088457369	02
Incarcator C4/36-350	2034219	Activ	80700464	-	-	0,00 RON	0	-	300088457364	01
Acumulator B 22/4.0Ah	2183180	Activ	19540713	-	31-08-2022	0,00 RON	1	-	300088457366	01
Surubelnita SF 6H-A22 plastic	2184337	Activ	201060227	-	27-09-2022	0,00 RON	1	-	300088457370	02
Ciocan demolator TE 2000-AVR 230V	2155477	Activ	54080	-	28-03-2023	0,00 RON	1	-	300090177531	01
Polizor pe acumulator AG 4S-A22 plastic	2215883	Activ	139351	-	22-04-2025	1.194,01 RON	3	-	300090503495	01
Surubelnita SF 10W-A22 cutie plastic	2109823	Activ	202350450	-	06-12-2022	0,00 RON	1	-	300090503505	02
Incarcator C4/36-90	2034530	Activ	16710042	-	-	0,00 RON	0	-	300090503496	01
Acumulator B 22/8.0 Ah	2183183	Activ	30240228	-	-	0,00 RON	0	-	300090503499	01
Acumulator B 22/8.0 Ah	2183183	Activ	30240627	-	-	0,00 RON	0	-	300090503502	01
